name,followers_count,following_count,statuses_count,listed_count,date
MICHELO BEYOUNG SUZ,1.0,11.0,10.0,0.0,2012/06/13
francesco manti,7.0,106.0,6.0,0.0,2011/05/31
sweet cricket,0.0,37.0,1.0,0.0,2013/04/11
Difaryansyah,1.0,5.0,3.0,0.0,2013/05/25
Pretty Monster,69.0,57.0,1164.0,0.0,2012/03/20
Argi Ganadora†,158.0,168.0,1434.0,1.0,2012/05/30
Paul Bolakh,12.0,14.0,244.0,0.0,2012/12/27
Hector Rc Racing,11.0,21.0,23.0,0.0,2013/06/26
Angie Fuentes,14.0,9.0,45.0,0.0,2013/07/30
Alfred omolade,0.0,0.0,1.0,0.0,2012/06/20
Shifa Alani,0.0,1.0,2.0,0.0,2013/06/19
john  coffiel,0.0,15.0,1.0,0.0,2012/03/05
Bintang2013,0.0,4.0,4.0,0.0,2012/12/24
francois ducrest,4.0,10.0,7.0,0.0,2011/12/14
Diah M,71,325,3438,0,2009/08/03
sergio zannin,2.0,2.0,1.0,0.0,2011/12/08
jose daniel,2.0,3.0,2.0,0.0,2012/01/13
hama,27.0,28.0,909.0,1.0,2011/09/02
T☼bias Pepper,150.0,188.0,846.0,0.0,2011/07/30
Dwayno815,370.0,718.0,9039.0,7.0,2010/04/17
Pop New Up,0.0,8.0,177.0,0.0,2013/07/18
David Leonardo meza,0.0,0.0,1.0,0.0,2012/07/11
evarusdianaaa,12.0,37.0,50.0,0.0,2012/02/19
alberto monty,0.0,0.0,2.0,0.0,2012/02/25
Conner Del,29.0,30.0,402.0,0.0,2013/06/24
Alexis Granda,5.0,0.0,1.0,0.0,2011/02/15
Berlisa,29.0,190.0,94.0,0.0,2012/08/25
richard price jr,2,20,85,0,2009/09/22
Lindsey,15.0,54.0,47.0,0.0,2013/03/08
Julissa Rp∞,62.0,60.0,432.0,0.0,2012/05/24
MRN,196.0,104.0,3072.0,0.0,2012/05/06
The Luke Hotel,9.0,5.0,1.0,0.0,2013/01/30
Rachel jones,0.0,6.0,2.0,0.0,2012/12/18
John Smith,0.0,0.0,1.0,0.0,2011/03/03
ravi sahu,37.0,83.0,13.0,0.0,2011/07/18
K_ingDavid834,0.0,49.0,5.0,0.0,2013/07/11
Hanan Mahmoud,71.0,194.0,1544.0,0.0,2011/08/25
khendre brown,0.0,0.0,1.0,0.0,2011/02/18
Nadina,0.0,0.0,1.0,0.0,2011/04/21
Nelly Duvons,0.0,10.0,1.0,0.0,2012/06/01
Abhishek Chauhan,1.0,17.0,1.0,0.0,2012/06/03
Belotot=)),44.0,57.0,77.0,0.0,2013/05/18
Anupam Pathak,13.0,12.0,9.0,0.0,2011/08/21
طبعي شيوخي,0.0,2.0,5.0,0.0,2013/03/30
Alberto Martinez,5.0,2.0,5.0,0.0,2011/06/16
natalie carter-green,0.0,0.0,1.0,0.0,2010/09/24
Natália Silvaa,55.0,85.0,334.0,0.0,2012/01/25
Donatas,0.0,0.0,1.0,0.0,2013/05/14
Hazel Weaver,5,4,1,0,2009/06/23
amany eljazy,70.0,418.0,26.0,0.0,2012/02/13
김지만,1.0,3.0,11.0,0.0,2011/12/04
Elliott Woody,0.0,7.0,17.0,0.0,2010/04/04
jitu ghotkar,2.0,43.0,5.0,0.0,2012/08/27
gbreezy,8,17,99,1,2009/08/31
Michael-James D.,106,86,616,3,2009/03/13
efekor,0.0,5.0,3.0,0.0,2012/12/21
Liang,8.0,3.0,1.0,0.0,2010/07/07
champi,41,15,2,0,2009/08/21
niall horan,3.0,8.0,4.0,0.0,2013/01/05
Mariana Mass;,1,18,3,0,2009/10/05
Niky Ribeiro,1.0,31.0,3.0,0.0,2011/10/30
Gianpaolo Nascimento,64,123,767,2,2009/06/12
Elite Inspirations,443.0,809.0,445.0,3.0,2012/05/23
Mccray Gino,0.0,47.0,5.0,0.0,2013/08/02
John Marostica,0.0,0.0,1.0,0.0,2012/02/12
Seo Jaehoon,1.0,5.0,2.0,0.0,2010/11/15
euge magnuski,0.0,5.0,2.0,0.0,2013/02/26
윤준수,0.0,0.0,1.0,0.0,2012/06/18
jakellane dos santos,1.0,0.0,1.0,0.0,2011/10/26
もも,19.0,29.0,2377.0,0.0,2012/04/01
Randriamiarisoa Mahf,12.0,31.0,1.0,0.0,2012/03/16
cristian alejandro,2.0,19.0,24.0,0.0,2013/03/16
Cynthia Poon,142.0,404.0,128.0,1.0,2013/06/11
羅刹EA,66.0,95.0,7807.0,1.0,2013/04/01
Tere Galván Casquete,73.0,110.0,438.0,0.0,2010/08/13
身和,9.0,13.0,259.0,0.0,2011/04/27
dj dailson sena,27.0,97.0,53.0,0.0,2011/07/19
natali774009112,0.0,0.0,2.0,0.0,2012/09/21
dave rohde,150,152,2310,4,2008/12/17
Stephani,66,918,626,0,2009/06/03
esra rıdvan uçar,14.0,77.0,15.0,0.0,2011/08/16
Lilian Calatayud,10.0,28.0,22.0,1.0,2010/02/17
M!ck€y,12.0,13.0,6.0,0.0,2012/10/17
Brandie Mason,0.0,0.0,3.0,0.0,2010/03/08
vivisharmila,1.0,10.0,5.0,0.0,2010/06/24
ابو مجدي,2.0,17.0,6.0,0.0,2013/03/15
Sonero,0.0,2.0,5.0,0.0,2012/09/02
Kelsey Chadwick,52.0,153.0,151.0,0.0,2012/06/30
Alejandra Lara,0.0,0.0,3.0,0.0,2011/10/06
Bryan Quigg,15.0,116.0,173.0,0.0,2010/11/26
رايـــــــــــــم,29.0,173.0,26.0,0.0,2011/10/04
erbritt,1,0,1,0,2008/07/22
khaled ahmed,1.0,19.0,19.0,0.0,2013/08/05
Oset Serasu Şahin,1.0,3.0,2.0,0.0,2012/07/20
luisana valbuena,0.0,15.0,23.0,0.0,2012/09/13
احساس مرهف ♥,2.0,41.0,7.0,0.0,2013/08/24
nova joy,0.0,0.0,25.0,0.0,2010/01/17
leung,0.0,14.0,1.0,0.0,2013/06/26
WhiteDiamond,32.0,79.0,11762.0,0.0,2010/03/07
terri guthridge,17,12,9,0,2009/04/12
viana,0.0,18.0,1.0,0.0,2012/04/10
sam,2.0,8.0,46.0,0.0,2012/10/25
@Noviyana20,10.0,28.0,31.0,0.0,2012/03/11
leticia coria davila,7.0,17.0,3.0,0.0,2010/03/26
dayane maria pereira,7.0,86.0,10.0,0.0,2012/11/03
Melissa,22.0,62.0,714.0,0.0,2011/02/12
Dealer Website SEO,26.0,11.0,7.0,3.0,2010/05/21
الـمـجروح,38.0,134.0,9.0,0.0,2012/03/22
ORLANDO wiz,10.0,54.0,2.0,0.0,2012/04/03
Toon Dillen,107.0,159.0,76.0,5.0,2010/09/08
luckygoal:(FEGRE_RF),6.0,13.0,46.0,0.0,2013/04/09
김성훈,1.0,0.0,21.0,0.0,2011/02/22
Herry Wardhana,5,2,3,1,2009/10/19
tachiorz,2.0,4.0,1.0,0.0,2012/11/09
@Direction_1D,13.0,59.0,11.0,0.0,2013/07/22
Carey Holtz,3.0,6.0,1.0,0.0,2011/11/13
Yeraldin Batista,7.0,22.0,1.0,0.0,2011/12/14
Jigar Mehta,11.0,82.0,8.0,0.0,2012/02/13
Mike Frank,395,1276,903,6,2009/02/27
Huhu Chang,0.0,3.0,4.0,0.0,2012/05/12
taylor clark,5.0,2.0,1.0,0.0,2011/03/15
Ashley Lomicka,124.0,142.0,305.0,0.0,2011/08/23
Mayara Lira ツ,132.0,242.0,698.0,2.0,2011/09/21
Rafael Santos,280.0,311.0,465.0,0.0,2013/04/10
Alba Zuckerman,4.0,0.0,471.0,0.0,2011/12/06
Volunteer.gov Portal,309,263,58,25,2009/09/12
濱地,1.0,3.0,3.0,0.0,2010/08/10
Jureide de Brito A,4.0,2.0,4.0,0.0,2011/01/27
핱으,1.0,1.0,83.0,0.0,2013/08/17
daugaard,43.0,74.0,218.0,0.0,2012/03/30
Matt Hudson,7.0,32.0,14.0,0.0,2013/08/10
당주혀ㄴ,0.0,1.0,1.0,0.0,2013/05/01
Andy Choi,2.0,17.0,3.0,0.0,2012/09/29
Aarica,19,35,4,0,2009/07/15
JUSTIN BIEBER,1.0,3.0,1.0,0.0,2010/10/17
Joey Duffy,15.0,15.0,5.0,0.0,2010/04/29
Chamo B,81.0,32.0,34.0,0.0,2012/05/27
November_3,164.0,267.0,664.0,1.0,2011/02/02
Andry Widianto,11.0,58.0,9.0,0.0,2011/11/02
lizeth paola,0.0,1.0,1.0,0.0,2012/04/06
Aaron Distura,21.0,204.0,7.0,0.0,2013/05/07
Ben KAwhe,7.0,18.0,7.0,1.0,2010/03/24
Jσrgε hεrnαndσ,139.0,127.0,1606.0,0.0,2012/01/30
dito,0.0,1.0,2.0,0.0,2013/02/24
Briana Hernandez3,58.0,112.0,197.0,0.0,2013/05/09
Michel Moeliker,3.0,59.0,10.0,0.0,2013/08/30
JESUS VELAZQUEZ,3.0,98.0,12.0,0.0,2010/12/22
Lisa H,0.0,0.0,45.0,0.0,2013/06/22
Jorge Barba,33.0,50.0,62.0,2.0,2012/05/06
Rony,8.0,24.0,36.0,0.0,2012/08/11
Øystein Gabrielsen,8.0,25.0,16.0,0.0,2012/03/02
Diamond Herrera,2.0,52.0,10.0,0.0,2013/05/01
Arlene Lam,29.0,30.0,225.0,1.0,2012/09/27
Young Jessi,162.0,414.0,534.0,0.0,2012/08/31
rennard lalla,2.0,0.0,4.0,0.0,2011/08/16
Anna Dunigan,0.0,2.0,3.0,0.0,2010/10/29
Rafael Rick,24.0,28.0,47.0,0.0,2010/09/17
Alyshah Kaba,23.0,35.0,9.0,0.0,2013/08/24
Александра Наруцкая,2.0,2.0,1.0,0.0,2012/10/16
vinicius silva,1.0,33.0,2.0,0.0,2012/07/29
Mary  barrera,0.0,0.0,1.0,0.0,2011/12/28
Ivan Choza,11.0,6.0,7.0,0.0,2012/03/28
Claudia Iraheta,28.0,90.0,185.0,0.0,2012/06/06
Geo,1.0,0.0,81.0,0.0,2012/11/27
Sabrina R Crayton,0.0,12.0,1.0,0.0,2012/04/20
박형문,2.0,20.0,13.0,0.0,2011/11/28
ابوسعدي,13.0,61.0,12.0,0.0,2012/12/05
Elizabeth diederich,0.0,11.0,3.0,0.0,2011/04/17
ahmed abd el rhim,0.0,5.0,1.0,0.0,2012/11/05
Bruderer Montalban,9.0,20.0,15.0,0.0,2013/05/30
Romario Giraldo,0.0,11.0,1.0,0.0,2013/07/04
piet,0.0,1.0,1.0,0.0,2012/08/06
andung wylaga,5.0,43.0,2.0,0.0,2013/07/30
shaza abdalateef,0.0,1.0,1.0,0.0,2012/04/19
mom marino,2.0,17.0,1.0,0.0,2013/04/21
آنوشهَه,41.0,69.0,29.0,0.0,2013/05/02
Kimsypink,8.0,23.0,27.0,0.0,2012/09/03
Sariah Dunn,9.0,15.0,6.0,0.0,2013/06/10
